282,18,1002876,1,57,8981
283,1,1002876,169,98,9150
284,11,1007993,1,2114,9151
285,9,1017630,1,16,9152
286,1,1025525,1,42,9153
287,14,1026314,16,19,9169
288,1,1026320,1,214,9170
289,12,1027809,1,189,9171
290,5,1029955,2,158,9173
291,5,1033840,1,145,9174
292,9,1045383,1,98,9175
293,9,1045386,1,118,9176
294,19,1045386,67,207,9243
295,6,1051002,1,2104,9244
296,3,1051006,1,235,9245
297,16,1062950,1,64,9246
298,6,1070772,1,350,9247
299,11,1071483,50,175,9297
300,15,1082263,1,174,9298
301,8,1083011,1,2792,9299
302,11,1083011,1,25,9300
303,16,1083720,2,398,9302
304,8,1083742,1,119,9303
305,14,1083742,165,50,9468
306,18,1083744,1,32,9469
307,9,1090786,1,741,9470
308,8,1090789,1,186,9471
309,3,1100336,1,197,9472
310,17,1100336,15,444,9487
311,12,1100336,18,379,9505
312,17,1103710,1,1868,9506
313,7,1104434,1,433,9507
314,10,1107451,1,24,9508
315,10,1117318,1,2496,9509
316,18,1117320,1,183,9510
317,6,1119064,1,117,9511
318,15,1119066,1,368,9512
319,3,1122937,1,98,9513
320,4,1124588,1,25,9514
321,20,1126930,15,176,9529
322,17,1127723,1,65,9530
323,13,1127729,1,214,9531
324,5,1127732,1,45,9532
325,14,1127979,1,189,9533
326,19,1127995,1,154,9534
327,2,1131165,1,177,9535
328,13,1131874,2,398,9537
329,12,1133427,1,140,9538
330,17,1137668,1,87,9539
331,6,1138621,1,67,9540
332,2,1138625,100,195,9640
333,3,1142008,1,1997,9641
334,9,1144969,1,46,9642
335,4,1145705,2,127,9644
336,3,1150690,1,79,9645
337,5,1151424,1,15,9646
338,20,1156895,1,37,9647
339,3,1163201,1,19,9648
340,8,1165368,1,25,9649
341,13,1165373,15,90,9664
342,14,1177080,1,167,9665
343,6,1178527,11,2113,9676
344,11,1178527,5,76,9681
345,5,1178530,1,126,9682
346,16,1180463,1,34,9683
347,7,1181197,1,15,9684
348,14,1183390,1,34,9685
349,18,1183390,15,165,9700
350,4,1189284,1,39,9701
351,10,1191364,100,92,9801
352,8,1191374,1,284,9802
353,18,1191376,1,31,9803
354,7,1198171,8,13,9811
355,15,1198882,50,175,9861
356,1,1202763,1,160,9862
357,20,1215458,8,70,9870
358,9,1227582,1,19,9871
359,6,1227585,1,82,9872
360,5,1230975,1,25,9873
361,7,1238616,136,69,10009
362,10,1239308,55,52,10064
363,9,1240034,2,150,10066
364,15,1249605,1,137,10067
365,6,1251153,58,1336,10125
366,12,1251157,1,210,10126
367,14,1264249,1,633,10127
368,4,1265900,1,25,10128
369,7,1265906,1,147,10129
370,13,1265912,1,214,10130
371,10,1265915,11,237,10141
372,4,1266839,1,88,10142
373,1,1271453,1,276,10143
374,19,1271455,1,54,10144
375,1,1273827,15,269,10159
376,10,1273830,1,210,10160
377,5,1273833,1,103,10161
378,17,1275668,11,240,10172
379,19,1287079,1,23,10173
380,10,1287867,1,790,10174
381,17,1310745,1,182,10175
382,12,1318614,1,147,10176
383,17,1318635,1,445,10177
384,1,1319484,1,52,10178
385,15,1320263,3,46,10181
386,15,1327131,1,27,10182
387,10,1336396,1,37,10183
388,13,1336396,15,174,10198
389,19,1340968,1,34,10199
390,4,1343124,1,103,10200
391,13,1359699,1,363,10201
392,7,1371083,1,22,10202
393,1,1373419,1,422,10203
394,20,1373429,1,284,10204
395,17,1373434,1,223,10205
396,15,1399443,1,141,10206
397,17,1399443,15,165,10221
398,10,1405336,1,39,10222
399,6,1407633,100,367,10322
400,20,1407650,1,254,10323
401,17,1417071,1,290,10324
402,12,1417076,1,28,10325
403,1,1417080,1,42,10326
404,13,1418992,1,2581,10327
405,14,1421137,2,158,10329
406,13,1421141,1,267,10330
407,20,1421143,1,29,10331
408,3,1421155,1,660,10332
409,8,1423311,1,103,10333
410,10,1423326,11,100,10344
411,1,1425665,17,74,10361
412,5,1425675,1,55,10362
413,13,1428827,1,228,10363
414,9,1428873,1,48,10364
415,6,1428877,1,115,10365
416,3,1437209,1,291,10366
417,20,1437209,303,79,10669
418,12,1437251,1,41,10670
419,9,1437274,2,274,10672
420,14,1440193,5,14,10677
421,18,1442565,16,1692,10693
422,5,1458623,1,66,10694
423,9,1459996,4,160,10698
424,6,1461718,11,57,10709
425,17,1469319,11,176,10720
426,9,1469320,11,198,10731
427,4,1473928,1,1707,10732
428,19,1473933,1,269,10733
429,3,1475545,1,175,10734
430,3,1475545,1,78,10735
431,15,1481302,1,92,10736
432,6,1484782,1,18,10737
433,6,1491095,1,163,10738
434,3,1493239,15,351,10753
435,9,1503104,1,23,10754
436,10,1503104,78,80,10832
